"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026840032&partnerID=40&md5=c838d45487198ef6c80d825d7ae25d25","","","English"
"2015","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921314502&doi=10.1080%2f0048721X.2014.949899&partnerID=40&md5=07daca5e2a2219b9f495b18c1253d565","Department of Religion, Concordia University, 1455 Blvd de Maisonneuve Ouest, Montreal, H2K 1M7, QC, Canada","Concordia University, CU","English"
"2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051772360&doi=10.1111%2fhith.12051&partnerID=40&md5=227f643f1ebca60449bb3372bd4f3867","University of Massachusetts Amherst, United States","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028463307&doi=10.1163%2f1477285X-12341286&partnerID=40&md5=25d792d8a60676e999987ae1cd3bc5f8","Arizona State University, United States","","English"
"2019","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073526910&doi=10.1016%2fj.pedn.2019.09.003&partnerID=40&md5=a31f046f2282f85a275546d97047fc73","DePaul University, School of Nursing, United States","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875144570&doi=10.4067%2fS0034-98872012001000018&partnerID=40&md5=64ccaba1ee1691f2c3849ed9a0727e97","Centro de Bioética, Facultad de Medicina Clínica Alemana, Universidad del Desarrollo, Santiago, Chile","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089535187&doi=10.1093%2fmj%2fkjaa004&partnerID=40&md5=cf65bbbd0f42caf1d543764690814372","Loyola University New Orleans, United States","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888017579&doi=10.3917%2fethn.134.0661&partnerID=40&md5=a95c2b85facd126bb978affba4da3a2f","Université Lyon 2 Lumière, Ecole Doctorale des Sciences Sociales, Service Général de la recherche, 69007 Lyon, 86, rue Pasteur, France","","French"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101798409&doi=10.3167%2fej.2021.540111&partnerID=40&md5=15687e1172ec165f24ffe884aa7d5c21","Bromley Reform Synagogue, Israel","","English"
"2011","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011770338&doi=10.1163%2f174552511X554555&partnerID=40&md5=cec0dc164bcbbabe04d4c5b95264e8c9","Emory University, Atlanta, GA, 30329, 1212 Calibre Woods Dr NE, United States; Luther Seminary, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123461363&partnerID=40&md5=6480c7810c80a4cd54f0e92ea496d83f","Bet Israel Jewish Community of Croatia, University of Zagreb, Faculty of Humanities and Social Sciences, Chair of Judaic studies, Ivana Lučića 3, Zagreb, HR-10000, Croatia","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957943228&doi=10.1080%2f02529200903565145&partnerID=40&md5=2629aa3a2f1615f9dd9cabf8b8f2fb91","Department of Philosophy and Religious Studies, Glazer Institute of Jewish Studies, Nanjing University, China","","English"
"2007","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848900734&partnerID=40&md5=478470a006e0086115202263226b5956","Department of American Jewish History, Jewish Theological Seminary","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114774720&doi=10.26650%2fdi.2020.31.2.799877&partnerID=40&md5=2c800e0de926d5933fa8bac255140b96","Balıkesir Üniversitesi, İlahiyat Fakültesi, Turkey","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095811596&doi=10.1163%2f15700682-12341489&partnerID=40&md5=9c335ec539af22d3216449cae290d84f","Department of Religion, Center for Jewish Studies, University of Florida, Gainesville, FL, United States","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66849129393&doi=10.2298%2fSOC0901045J&partnerID=40&md5=ff8059c56dbfb8f23ecddbb792c196a7","Fakultet muzicke umetnosti, Univerzitet umetnosti u Beogradu, North Macedonia; Filozofski fakultet, Univerzitet u Beogradu, Croatia","","Serbian"
"2016","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982918847&doi=10.1080%2f00111619.2015.1054023&partnerID=40&md5=d0611a036ed27d2b37f6649844d07043","Department of English, Penn State Abington, Abington, PA, United States","","English"
"2012","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868375586&doi=10.1080%2f15507394.2012.716343&partnerID=40&md5=4828b12a6850e00af93f053f1c17698d","Azrieli Graduate School of Jewish Education and Administration, Yeshiva University, United States","","English"
"2010","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952865353&doi=10.1007%2fs11712-010-9160-7&partnerID=40&md5=5373ba4d35c08ff2a3d7c9fefcb0c078","Department of East Asian Studies, Faculty of Humanities, Gilman Hall, Tel-Aviv University, Tel Aviv 69978, Israel","","English"
