"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101723027&doi=10.1002%2f9781118610398.ch23&partnerID=40&md5=2253e25db3b5e0fa4c9f8fed9037b3e7","Arizona State Universit, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062357800&doi=10.1353%2fBCS.2018.0020&partnerID=40&md5=c676c63a34628d064cd8ccae9e5cca66","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120538933&doi=10.1007%2fs10943-021-01464-7&partnerID=40&md5=e3dff6c93033ea3bd6e87d8fa0ee59d1","Department of Philosophy, Jagannath University, Dhaka, Bangladesh; Duquesne University, Pittsburgh, United States","","English"
"2017","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055427719&partnerID=40&md5=7681cc82691559d10537c93b06880f39","Institute of Anthropology, Heidelberg University, Germany","Instituto de Salud Carlos III, ISCIII; Instituto de InvestigaciÃ³n Sanitaria FundaciÃ³n JimÃ©nez DÃ­az, IIS-FJD, (FIS PI080237, FIS PS09/01164)","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111356091&doi=10.1093%2foso%2f9780190853884.003.0005&partnerID=40&md5=05b9717a8c26946ca169be6bcd051cab","University of Copenhagen, Denmark","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084466285&doi=10.1163%2f15685292-02401001&partnerID=40&md5=53de538a498ce2cc77176820374c44cb","Seoul National University, Seoul, South Korea","","English"
"2017","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036521341&doi=10.1353%2fjkr.2017.0015&partnerID=40&md5=f833b58176488e262263ef9597d902c7","Chulalongkorn University, Thailand","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050407969&doi=10.1353%2fks.2017.0021&partnerID=40&md5=f5d89588982ce89429f7da93a26245bf","","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034254428&doi=10.1002%2f9781119424246.ch10&partnerID=40&md5=4a6d024f8cdae01e54402fbc332d176c","St. Lawrence University, United States","","English"
"2017","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031281701&doi=10.1353%2fjks.2017.0004&partnerID=40&md5=907b9f92ebd3655a313443a3a753e72c","Department of Religious Studies, Duke University, United States","","English"
"2014","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055645446&doi=10.1002%2f9781118610398.ch3&partnerID=40&md5=a205580e708a53ec58d4f03c3190357d","Department of Religious Studies, Seoul National University, South Korea","","English"
"1984","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021701062&doi=10.1016%2f0005-7967%2884%2990129-3&partnerID=40&md5=081e2f561b4247d43b4dd1253df3f904","Department of Psychology, Institute of Psychiatry, London, SE5 8AF England, De Crespigny Park, United Kingdom","","English"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072298875&partnerID=40&md5=414c737bef0f955fe0ad0f9d9af35c55","Berlin-Brandenburg Academy of Sciences and Humanities, Turfan Studies, Berlin, Germany","","Turkish"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137831478&partnerID=40&md5=bc1eba32edbe1abc26f6fed06920fbae","School of Oriental and African Studies London, United Kingdom","Chiang Ching-kuo Foundation; Sichuan Provincial Library, monastics and laity of temples in Chengdu; Sichuan and Chengdu offices of the Buddhist Association; Chiang Ching-Kuo Foundation for International Scholarly Exchange, CCKF; Sichuan University, SCU","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091993892&doi=10.22162%2f2075-7794-2017-30-2-14-24&partnerID=40&md5=e0d7a39dcbae34bd25575b30668f629c","Department of Philosophy, Cultural and Religious Studies, Institute for Mongolian, Buddhist and Tibetan Studies of the Siberian Branch of the RAS, Ulan-Ude, Russian Federation","","Russian"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048745204&doi=10.1007%2fs11712-018-9616-8&partnerID=40&md5=7a0a7e16dceaee6c09a74d0a1ae4ff00","Center for Zhouyi and Ancient Chinese Philosophy, School of Philosophy and Social Development, Shandong University, Jinan, 250100, Shandong, China","Transmission and Transformation Engineering of Qilu Excellent Traditional Culture","English"
"2017","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076374337&doi=10.1080%2f23729988.2017.1378004&partnerID=40&md5=bcaa05bcb2564a50a24a0085a6a125f2","Dipartimento di Filosofia, Scienze Sociali, Umane e della Formazione, Perugia University, Perugia, Italy","Chiang Ching-Kuo Foundation for International Scholarly Exchange, CCKF, (RG007-U-14)","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141318752&doi=10.1353%2fjkr.2022.0009&partnerID=40&md5=952664b6f47cc4b64a7a5a1d67a3d7fc","The Asian Languages and Cultures Department, The University of California, Los Angeles, United States","","English"
"2014","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051533464&doi=10.1002%2f9781118610398.ch24&partnerID=40&md5=3994c8bb85d5a230af67165b1d908859","Ruprecht-Karls-Universität Heidelberg, Germany","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141702079&doi=10.1177%2f02576430221124487&partnerID=40&md5=66dc292726e990882486b54a1d9a7ad1","SRM University, Andhra Pradesh, Amaravati, India","","English"
"2016","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071069100&partnerID=40&md5=21c0c983757837cb261b595383a0f2c2","D.S. Likhachev Institute of Cultural and Natural Heritage, 2 Kosmonavtov St., Moscow, 129366, Russian Federation","","Russian"
