"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091511580&doi=10.1163%2f15700739-07203004&partnerID=40&md5=1bbce124fdd512727d8272848a315a5c","","","German"
"2007","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548170232&doi=10.1177%2f1440783307080108&partnerID=40&md5=79d50c0ebc1c1e0bd328322a32af9d66","University of Western Sydney","","English"
"2014","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021107679&doi=10.1163%2f9789004262805_007&partnerID=40&md5=6138d1d113e3b38ff1827ec7c9d64388","Arabic Studies, American University, Cairo, Egypt","","English"
"2021","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112481906&doi=10.3389%2ffnut.2021.662310&partnerID=40&md5=7ae22f12d303694b7a348ca1977e2c48","Institute of Social Medicine, Epidemiology and Health Economics, Charité—Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin Institute of Health, Berlin, Germany; Department of Internal and Integrative Medicine, Immanuel Hospital Berlin, Berlin, Germany; Department of Sociology, Cluster of Excellence Religion and Politics, University of Münster, Münster, Germany; Department of Oecotrophology, Hochschule Niederrhein, University of Applied Science, Mönchengladbach, Germany; Department of Neurology, Charité Universitätsmedizin Berlin, Campus Benjamin Franklin, Berlin, Germany; Connected Healthcare, Hasso Plattner Institute, University of Potsdam, Potsdam, Germany; Laboratory of Chronobiology, Institute of Medical Immunology, Charité—Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin Institute of Health, Berlin, Germany; Institute for Theoretical Biology, Charité Universitätsmedizin Berlin, Berlin, Germany; Department of Sociology, University of Konstanz, Konstanz, Germany; Experimental and Clinical Research Center—a Joint Cooperation Between Charité-Universitätsmedizin Berlin and Max Delbrueck Center for Molecular Medicine, Berlin, Germany; NeuroCure Clinical Research Center, Charité-Universitätsmedizin Berlin, Berlin, Germany","Institute of Social Medicine, Epidemiology and Health Economics, Charité—Universitätsmedizin Berlin","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082793268&doi=10.5325%2fintejperslite.4.0068&partnerID=40&md5=3c64b193815b798834a1763219721868","University of Arizona, United States","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923252887&doi=10.1093%2foxfordhb%2f9780195137989.003.0050&partnerID=40&md5=821fbd49418b1af886c8e81c560ba21b","Harvard University, United States","","English"
"2012","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877324553&doi=10.2753%2fCSA2162-0555450205&partnerID=40&md5=a790a84ebc12068fb8255ff50186e32c","Department of Sociology, University of Hong Kong, Hong Kong","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134641795&doi=10.1177%2f2347798919832732&partnerID=40&md5=85110552af5a7a1b2afdf9b17b957640","Department of Criminology, Malmö University, Sweden; Doctoral Candidate Centre for West Asian Studies, School of International Studies, Sweden","","English"
"2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974584291&doi=10.4324%2f9780203002803-8&partnerID=40&md5=6f9efd39c3dfcff1f179642e6551f13c","University of California, United States","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048732261&doi=10.1080%2f05786967.2016.1277097&partnerID=40&md5=7065e1a4382c18180f98d104ff30739e","Seminar für Orientalistik, University of Kiel, Kiel, Germany","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936817011&doi=10.1111%2f1467-9809.12280&partnerID=40&md5=71dbf8f705cb8bb1a35c8923b8b78c7a","Mahidol University International College in Thailand, Thailand","","English"
"2011","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960687657&doi=10.1089%2fbfm.2010.0098&partnerID=40&md5=dfea64bd31641f4a98d7b62ebd74cf43","Department of Pediatrics, Indiana University, School of Medicine, Indianapolis, IN 46202, 1002 Wishard Boulevard, United States; Department of Emergency Medicine, Indiana University, School of Medicine, Indianapolis, IN, United States; Regenstrief Institute, Indianapolis, IN, United States","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024681135&partnerID=40&md5=3b6ea95ae71500e28c79fd6ec7dfe00d","LD&A, United States","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911086379&doi=10.4324%2f9780203568538&partnerID=40&md5=8a9b5d1aab2e2dea63a57acb34b1785b","Institute of Oriental Manuscripts, Russian Academy of Science, Russian Federation","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038943810&partnerID=40&md5=5ab2cf9c619ba2ba8c1bca6633e5172a","University of Urmia, Iran","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880944172&partnerID=40&md5=583fb90524bc98f705a8c4b90a7c5d78","Department at St. Thomas University, St. Thomas University, NB, Canada","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049375659&doi=10.1353%2fjqr.2018.0014&partnerID=40&md5=98c90ee3f1d68ab6d6740998fa17793f","","","English"
"2015","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941209101&doi=10.1111%2f1467-9809.12207&partnerID=40&md5=f68cc742ee1cad5e37ca854a1b04fd6e","Mahidol University International College (MUIC), Mahidol University, Thailand","","English"
"2008","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944899811&doi=10.1017%2fS0748081400001922&partnerID=40&md5=de53731a1036b23fe73a06c63565cb48","University of British Columbia, European Peace University, Canada","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024905146&partnerID=40&md5=cc9c03f326863dca837fc808ea9944b4","","","English"
"2007","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962068649&partnerID=40&md5=30f0cb36847af9ba6e6e13211144e293","Sociology and in Social Psychology and Philosophy, United States","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071558081&doi=10.4324%2f9780203613207-11&partnerID=40&md5=9f61ffae395c5e14b6913a4157a1a9f5","University of Montana, Missoula, United States; Department of Human Services, Salish-Kootenai Community College, Pablo, MT, United States; Bozeman, MT, United States","","English"
"2017","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040169027&doi=10.1186%2fs12904-017-0239-3&partnerID=40&md5=d3b11ff3619a6210e0c4e23acc785247","Centre for Nursing Research, Cabrini Institute, 154 Wattletree Road, Malvern, 3144, VIC, Australia; Faculty of Medicine, Nursing and Health Sciences, Monash University, Wellington Road, Clayton, 3800, VIC, Australia; Palliative and Supportive Care Research Department, 154 Wattletree Road, Malvern, 3144, VIC, Australia; Departments of Psychosocial Cancer Care and Medicine, St Vincent's Hospital, University of Melbourne, 41 Victoria Parade, Fitzroy, 3065, VIC, Australia; Institute for Ethics and Society, University of Notre Dame Sydney, L1, 104 Broadway, Sydney, 2007, NSW, Australia; Australian Catholic University, 115 Victoria Parade, Fitzroy, 3165, VIC, Australia; Monash Department of Clinical Epidemiology, Cabrini Institute, 154 Wattletree Road, Malvern, 3144, VIC, Australia","Department of Health, Australian Government","English"
