"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053689033&doi=10.4467%2f20800909EL.17.027.7509&partnerID=40&md5=2d2b5cea48d2a78d7afe38f13833da8a","Università di Bologna, Italy","","Italian"
"2008","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966649875&partnerID=40&md5=493220644fb91c42e72528e54e1d56f8","","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072573414&doi=10.1556%2f068.2018.58.1-4.18&partnerID=40&md5=0f5d06dedf4952425779436ebb1a87f2","Central European University, Budapest, Hungary","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074669470&doi=10.1163%2f15700682-12341452&partnerID=40&md5=73c6eea0da045266283b8d0bc009cb5c","University of Vermont, United States","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131406614&doi=10.1080%2f05786967.2022.2082313&partnerID=40&md5=756681209f95ddc7fde785daa0695d32","Independent Scholar, Lake Forest, CA, United States","","English"
"2010","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149286828&doi=10.1017%2fS0017816010000532&partnerID=40&md5=97b956b7f21e3140661b554180335f9f","Yale University, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072556978&doi=10.1556%2f068.2018.58.1-4.28&partnerID=40&md5=86fcc89d88b55086f7e757c1f6a270b2","School of Humanities, Tallinn University, Estonia","","English"
"2007","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53949088740&doi=10.1017%2fCBO9780511488450.010&partnerID=40&md5=3d6f1a30f6dccfc1b37cf2786275859f","","","English"
"2015","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940654473&partnerID=40&md5=14b56a452de0a62e9bb21648067f2b02","Universität Erfurt, Max-Weber-Kolleg für Kultur-und Sozialwissenschaftliche Studien, Nordhäuser Str. 74, Erfurt, 99089, Germany","","English"
"1917","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865364134&doi=10.2307%2f295581&partnerID=40&md5=049f7287454c79084563bc85130b36ee","","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067510557&partnerID=40&md5=f9fcae3fd4130ce34e26607da2ac0fb6","University of Oxford, United Kingdom","","English"
"2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067860959&doi=10.2143%2fSI.47.1.3285717&partnerID=40&md5=bb76e96b799c347d2763ff3a9db1f479","University of Bologna, Italy","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953979137&partnerID=40&md5=54b78a8a533a83f7383377791cd7f4a9","Manor House, Shere, Surrey, United Kingdom","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050400661&partnerID=40&md5=950a936f88d88de70b8c5fe491aa9e9e","","","Estonian"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885705156&partnerID=40&md5=8f788c937b966ea0b7f77e96af1814e7","Study of Religion Department, Aristotle University of Thessaloniki, 57004 Thessaloniki, Avdimiou 13 Nea Michaniona z. c., Greece","","English"
"1990","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971688530&doi=10.1017%2fS0041977X00026069&partnerID=40&md5=b0119c3e4b453d1cb3e20a09fc79f09f","","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108379281&doi=10.1404%2f96124&partnerID=40&md5=cb9807dab67b475c0ad559ff3b4a92cd","Società Dantesca Italiana, Via dell'Arte della Lana 1, Firenze, I-50123, Italy","","Italian"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072580950&doi=10.1556%2f068.2018.58.1-4.38&partnerID=40&md5=8970543f7147e07719630e6921cdd06d","Aristotle University of Thessaloniki, A.U.TH. Research Committee, Greece","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072578771&doi=10.1556%2f068.2018.58.1-4.37&partnerID=40&md5=9f5c86498b5e4e62f2b7831446fc1328","Metropolitan Library of Bucharest, Romania","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885744165&partnerID=40&md5=52e4146aa3702373d5d21a0f3fb76670","Department of Religion, University of Vermont, Burlington, VT 05401, 161 St. Paul Street, 304, United States","","English"
