"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052818537&doi=10.1093%2fjaarel%2flfx035&partnerID=40&md5=0533f235b6cb35bb06f8e31ca74dc285","Department of Systematic Theology, Aarhus University, Jens Chr. Skous Vej 3, Building 1453, Aarhus C., 8000, Denmark","Natur og Univers, Det Frie Forskningsråd, FNU, DFF","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861477573&doi=10.3828%2fextr.2011.52.3.3&partnerID=40&md5=92b3447ea0d686aa0f98d4208717552c","University of Memphis, United States","","English"
"2019","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073283948&doi=10.4102%2fhts.v75i1.5515&partnerID=40&md5=b11be6e91ef97a73fe4ebec70972522b","New Testament and Early Christian Studies, Department of Biblical and Ancient Studies, University of South Africa, Pretoria, South Africa; Australian Lutheran College, University of Divinity, Adelaide, Australia","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943782306&doi=10.1163%2fej.9789004167223.i-578.33&partnerID=40&md5=47ca0a789ede8391a18a369830864bc1","Philipps-University of Marburg, Germany","","English"
"1987","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924856673&doi=10.1163%2f156853687X00191&partnerID=40&md5=6628bf950328ed5893d2e9c8f8ec4972","University of California at Riverside, United States","","English"
"1985","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922414106&doi=10.1080%2f00168890.1985.9934793&partnerID=40&md5=b8cc9c672e7fb6f92cfda13f25605e88","University of Virginia, United States","","English"
"2008","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882860651&doi=10.1163%2fej.9789004167223.i-578&partnerID=40&md5=822a1e0a7d1da97a8300555086026104","Philipps-University of Marburg, Germany","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066592710&doi=10.1093%2foxfordhb%2f9780199843695.013.0026&partnerID=40&md5=61164df1de377265eff6d3dbda916134","Papyrus Collection and Papyrus Museum, Austrian National Library, Vienna, Austria","","English"
"2005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61049414256&doi=10.7202%2f011816ar&partnerID=40&md5=0180ba3b6cdfb0d57007d36ffbaace17","Faculté de Théologie et de Sciences Religieuses, Université Laval, QC, Canada","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050275764&doi=10.1163%2f9789004362253_009&partnerID=40&md5=35b541700fe0b58c5b66a2dfe08f1eab","","","English"
